Year,Player Name,Team Name,Matches,Runs,Innings,Strike Rate,Batting Average,Highest Score,Average,Centuries,Half Centuries,Ducks
2008,AM Nayar,Mumbai Indians,14,206,10,149.27,25.75,45*,25.75,-,-,-
2008,A Nehra,Mumbai Indians,14,3,4,23.07,3,2*,3,-,-,1
2008,A Nel,Mumbai Indians,1,-,1,-,-,-,-,-,-,1
2008,AA Noffke,Royal Challengers Bangalore,1,9,1,90,9,9,9,-,-,-
2008,M Ntini,Chennai Super Kings,9,11,2,61.11,11,11,11,-,-,-
2008,PP Ojha,Deccan Chargers,13,2,4,50,1,1*,1,-,-,2
2008,JDP Oram,Chennai Super Kings,4,18,3,150,18,13,18,-,-,-
2008,MK Pandey,Mumbai Indians,3,3,2,33.33,1.5,3,1.5,-,-,1
2008,Pankaj Singh,Rajasthan Royals,5,5,2,62.5,-,4*,-,-,-,-
2008,MM Patel,Rajasthan Royals,15,-,2,-,-,0*,-,-,-,-
2008,NK Patel,Rajasthan Royals,5,103,4,127.16,51.5,57,51.5,-,1,-
2008,PA Patel,Chennai Super Kings,13,302,13,101.68,27.45,54,27.45,-,2,1
2008,IK Pathan,Kings XI Punjab,14,131,10,112.93,21.83,40,21.83,-,-,-
2008,YK Pathan,Rajasthan Royals,16,435,15,179.01,31.07,68,31.07,-,4,-
2008,DT Patil,Royal Challengers Bangalore,2,13,2,100,6.5,9,6.5,-,-,-
2008,RV Pawar,Mumbai Indians,1,-,-,-,-,-,-,-,-,-
2008,SM Pollock,Mumbai Indians,13,147,8,132.43,18.37,33,18.37,-,-,2
2008,LA Pomersbach,Kings XI Punjab,5,152,5,153.53,152,79*,152,-,1,-
2008,RT Ponting,Kolkata Knight Riders,4,39,4,73.58,9.75,20,9.75,-,-,2
2008,RR Powar,Kings XI Punjab,5,28,1,133.33,-,28*,-,-,-,-
2008,AM Rahane,Mumbai Indians,2,4,2,23.52,2,4,2,-,-,1
2008,SK Raina,Chennai Super Kings,16,421,14,142.71,38.27,55*,38.27,-,3,-
2008,RR Raje,Mumbai Indians,6,8,3,88.88,-,6*,-,-,-,-
2008,DB Ravi Teja,Deccan Chargers,7,109,6,132.92,18.16,40,18.16,-,-,-
2008,M Rawat,Rajasthan Royals,11,34,7,87.17,8.5,23*,8.5,-,-,1
2008,L Ronchi,Mumbai Indians,4,34,4,106.25,8.5,13,8.5,-,-,-
2008,WP Saha,Kolkata Knight Riders,12,159,10,133.61,31.8,59*,31.8,-,1,-
