Year,Player Name,Team Name,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
2010,MD Mishra,Deccan Chargers,11,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2010,A Mithun,Royal Challengers Bangalore,1,1,18,-,39,1,1/39,39.00,13,18,-,-,-,-
2010,EJG Morgan,Royal Challengers Bangalore,6,-,0,-,-,-,-,0.00,-,-,-,-,4,-
2010,JA Morkel,Chennai Super Kings,14,14,286,1,405,11,2/23,36.81,8.49,26,-,-,3,-
2010,M Morkel,Rajasthan Royals,2,2,42,-,66,-,-,0.00,9.42,-,-,-,1,-
2010,M Muralidaran,Chennai Super Kings,12,12,288,-,329,15,3/16,21.93,6.85,19.2,-,-,3,-
2010,AG Murtaza,Mumbai Indians,3,3,72,-,91,3,2/18,30.33,7.58,24,-,-,1,-
2010,Y Nagar,Delhi Daredevils,1,1,18,-,28,1,1/28,28.00,9.33,18,-,-,-,-
2010,DP Nannes,Delhi Daredevils,9,9,205,-,224,7,2/12,32.00,6.55,29.2,-,-,-,-
2010,S Narwal,Rajasthan Royals,5,5,94,-,185,5,3/36,37.00,11.8,18.8,-,-,1,-
2010,AM Nayar,Mumbai Indians,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2010,A Nehra,Delhi Daredevils,4,4,84,-,96,6,3/26,16.00,6.85,14,-,-,2,-
2010,NV Ojha,Rajasthan Royals,14,-,0,-,-,-,-,0.00,-,-,-,-,4,2
2010,PP Ojha,Deccan Chargers,16,16,353,-,429,21,3/26,20.42,7.29,16.8,-,-,4,-
2010,MK Pandey,Royal Challengers Bangalore,13,-,0,-,-,-,-,0.00,-,-,-,-,6,-
2010,Pankaj Singh,Royal Challengers Bangalore,2,2,48,1,81,2,2/27,40.50,10.12,24,-,-,-,-
2010,MB Parmar,Kolkata Knight Riders,1,1,18,-,33,-,-,0.00,11,-,-,-,-,-
2010,MM Patel,Rajasthan Royals,4,4,78,-,118,3,1/20,39.33,9.07,26,-,-,1,-
2010,PA Patel,Chennai Super Kings,4,-,0,-,-,-,-,0.00,-,-,-,-,-,2
2010,IK Pathan,Kings XI Punjab,14,14,278,-,426,15,3/24,28.40,9.19,18.5,-,-,4,-
2010,YK Pathan,Rajasthan Royals,14,11,204,-,246,5,2/9,49.20,7.23,40.8,-,-,9,-
2010,AG Paunikar,Rajasthan Royals,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2010,NLTC Perera,Chennai Super Kings,1,1,6,-,19,-,-,0.00,19,-,-,-,-,-
2010,KP Pietersen,Royal Challengers Bangalore,7,6,60,-,77,3,1/10,25.66,7.7,20,-,-,3,-
2010,KA Pollard,Mumbai Indians,14,12,222,-,274,15,3/17,18.26,7.4,14.8,-,-,6,-
2010,RR Powar,Kings XI Punjab,7,7,138,-,160,3,2/28,53.33,6.95,46,-,-,-,-
2010,CA Pujara,Kolkata Knight Riders,10,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2010,SK Raina,Chennai Super Kings,16,12,143,-,178,6,1/0,29.66,7.46,23.8,-,-,10,-
2010,AS Raut,Rajasthan Royals,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2010,AT Rayudu,Mumbai Indians,14,-,0,-,-,-,-,0.00,-,-,-,-,6,1
2010,KAJ Roach,Deccan Chargers,2,2,48,-,80,-,-,0.00,10,-,-,-,1,-
2010,WP Saha,Kolkata Knight Riders,13,-,0,-,-,-,-,0.00,-,-,-,-,3,3
2010,KC Sangakkara,Kings XI Punjab,13,-,0,-,-,-,-,0.00,-,-,-,-,6,5
2010,PJ Sangwan,Delhi Daredevils,8,8,186,-,258,9,3/22,28.66,8.32,20.6,-,-,1,-
2010,R Sathish,Mumbai Indians,12,4,48,-,81,2,1/11,40.50,10.12,24,-,-,3,-
2010,V Sehwag,Delhi Daredevils,14,3,34,-,23,3,2/18,7.66,4.05,11.3,-,-,2,-
2010,OA Shah,Kolkata Knight Riders,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2010,I Sharma,Kolkata Knight Riders,7,7,150,-,236,7,2/33,33.71,9.44,21.4,-,-,1,-
2010,R Sharma,Deccan Chargers,6,6,124,-,167,5,2/42,33.40,8.08,24.8,-,-,1,-
2010,RG Sharma,Deccan Chargers,16,9,114,-,153,2,1/19,76.50,8.05,57,-,-,9,-
2010,LR Shukla,Kolkata Knight Riders,4,4,72,-,106,3,1/30,35.33,8.83,24,-,-,2,-
2010,RP Singh,Deccan Chargers,12,12,252,-,370,13,3/17,28.46,8.8,19.3,-,-,4,-
2010,VRV Singh,Kings XI Punjab,1,1,18,-,40,-,-,0.00,13.33,-,-,-,-,-
2010,DR Smith,Deccan Chargers,3,2,23,-,36,1,1/22,36.00,9.39,23,-,-,-,-
2010,GC Smith,Rajasthan Royals,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2010,RS Sodhi,Kings XI Punjab,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2010,S Sohal,Kings XI Punjab,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2010,S Sreesanth,Kings XI Punjab,6,6,114,-,187,3,2/24,62.33,9.84,38,-,-,-,-
2010,S Sriram,Royal Challengers Bangalore,1,1,12,-,24,-,-,0.00,12,-,-,-,-,-
2010,SJ Srivastava,Kings XI Punjab,8,8,162,-,255,6,2/23,42.50,9.44,27,-,-,1,-
2010,DW Steyn,Royal Challengers Bangalore,15,15,354,1,406,15,3/18,27.06,6.88,23.6,-,-,1,-
2010,TL Suman,Deccan Chargers,14,2,12,-,24,-,-,0.00,12,-,-,-,3,-
2010,B Sumanth,Deccan Chargers,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-
2010,A Symonds,Deccan Chargers,16,16,318,-,372,12,3/21,31.00,7.01,26.5,-,-,12,-
2010,SW Tait,Rajasthan Royals,8,8,187,-,260,10,3/22,26.00,8.34,18.7,-,-,2,-
2010,AP Tare,Mumbai Indians,7,-,0,-,-,-,-,0.00,-,-,-,-,1,2
2010,LRPL Taylor,Royal Challengers Bangalore,7,-,0,-,-,-,-,0.00,-,-,-,-,4,-
2010,SR Tendulkar,Mumbai Indians,15,-,0,-,-,-,-,0.00,-,-,-,-,3,-
2010,J Theron,Kings XI Punjab,7,7,144,-,187,6,2/17,31.16,7.79,24,-,-,1,-
2010,T Thushara,Chennai Super Kings,4,4,87,-,101,5,2/16,20.20,6.96,17.4,-,-,2,-
2010,MK Tiwary,Kolkata Knight Riders,13,1,6,-,11,1,1/11,11.00,11,6,-,-,4,-
2010,SS Tiwary,Mumbai Indians,16,-,0,-,-,-,-,0.00,-,-,-,-,3,-
2010,SK Trivedi,Rajasthan Royals,11,10,213,-,260,11,3/16,23.63,7.32,19.3,-,-,1,-
2010,S Tyagi,Chennai Super Kings,6,6,95,-,159,1,1/20,159.00,10.04,95,-,-,2,-
2010,JD Unadkat,Kolkata Knight Riders,3,3,62,-,85,4,3/26,21.25,8.22,15.5,-,-,1,-
2010,A Uniyal,Rajasthan Royals,2,2,36,-,66,2,2/41,33.00,11,18,-,-,-,-
2010,RV Uthappa,Royal Challengers Bangalore,16,-,0,-,-,-,-,0.00,-,-,-,-,7,3
2010,WPUJC Vaas,Deccan Chargers,6,6,132,2,139,9,3/21,15.44,6.31,14.6,-,-,-,-
2010,RE van der Merwe,Royal Challengers Bangalore,1,1,24,-,27,2,2/27,13.50,6.75,12,-,-,1,-
2010,Y Venugopal Rao,Deccan Chargers,6,1,6,-,10,-,-,0.00,10,-,-,-,-,-
2010,DL Vettori,Delhi Daredevils,3,3,70,-,97,2,1/30,48.50,8.31,35,-,-,-,-
2010,M Vijay,Chennai Super Kings,15,-,0,-,-,-,-,0.00,-,-,-,-,11,-
2010,R Vinay Kumar,Royal Challengers Bangalore,14,14,278,-,396,16,4/40,24.75,8.54,17.3,-,-,3,-
2010,AC Voges,Rajasthan Royals,9,7,54,-,76,-,-,0.00,8.44,-,-,-,1,-
2010,SB Wagh,Rajasthan Royals,1,1,6,-,16,1,1/16,16.00,16,6,-,-,-,-
2010,SK Warne,Rajasthan Royals,14,14,300,-,381,11,4/21,34.63,7.62,27.2,-,-,2,-
2010,DA Warner,Delhi Daredevils,11,-,0,-,-,-,-,0.00,-,-,-,-,8,-
2010,SR Watson,Rajasthan Royals,6,6,132,-,184,6,3/37,30.66,8.36,22,-,-,3,-
2010,CL White,Royal Challengers Bangalore,7,1,6,-,19,-,-,0.00,19,-,-,-,4,-
2010,UT Yadav,Delhi Daredevils,7,7,144,-,184,6,2/24,30.66,7.66,24,-,-,1,-
2010,Yuvraj Singh,Kings XI Punjab,14,10,138,-,152,5,2/21,30.40,6.6,27.6,-,-,2,-
,,,,,,,,,,,,,,,,
2011,S Ladda,Kolkata Knight Riders,2,2,24,-,42,-,-,0.00,10.5,-,-,-,1,-
2011,VR Aaron,Delhi Daredevils,4,3,72,-,82,2,1/20,41.00,6.83,36,-,-,-,-
2011,L Ablish,Kings XI Punjab,1,1,18,-,39,-,-,0.00,13,-,-,-,-,-
2011,AB Agarkar,Delhi Daredevils,7,7,162,-,231,8,2/23,28.87,8.55,20.2,-,-,-,-
2011,MA Agarwal,Royal Challengers Bangalore,8,-,0,-,-,-,-,0.00,-,-,-,-,3,-
2011,AN Ahmed,Mumbai Indians,6,6,120,1,169,5,2/13,33.80,8.45,24,-,-,1,-
2011,B Akhil,Kochi Tuskers Kerala,1,1,12,-,22,-,-,0.00,11,-,-,-,-,-
2011,Anand Rajan,Deccan Chargers,2,2,30,-,50,3,3/27,16.66,10,10,-,-,2,-
2011,S Anirudha,Chennai Super Kings,9,-,0,-,-,-,-,0.00,-,-,-,-,8,-
2011,S Aravind,Royal Challengers Bangalore,13,13,276,-,368,21,4/14,17.52,8,13.1,-,-,3,-
2011,KB Arun Karthik,Royal Challengers Bangalore,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2011,R Ashwin,Chennai Super Kings,16,16,378,1,388,20,3/16,19.40,6.15,18.9,-,-,4,-
2011,SA Asnodkar,Rajasthan Royals,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,S Badrinath,Chennai Super Kings,16,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2011,L Balaji,Kolkata Knight Riders,14,14,267,-,371,10,3/15,37.10,8.33,26.7,-,-,1,-
2011,R Bhatia,Kolkata Knight Riders,14,12,192,-,210,8,3/22,26.25,6.56,24,-,-,4,-
2011,BA Bhatt,Kings XI Punjab,10,8,167,-,229,9,4/22,25.44,8.22,18.5,-,-,1,-
2011,STR Binny,Rajasthan Royals,6,3,24,-,44,-,-,0.00,11,-,-,-,2,-
2011,Bipul Sharma,Kings XI Punjab,4,4,72,-,78,4,2/32,19.50,6.5,18,-,-,1,-
2011,TR Birt,Delhi Daredevils,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,MS Bisla,Kolkata Knight Riders,5,-,0,-,-,-,-,0.00,-,-,-,-,1,2
2011,AC Blizzard,Mumbai Indians,6,-,0,-,-,-,-,0.00,-,-,-,-,4,-
2011,DE Bollinger,Chennai Super Kings,13,13,282,1,329,17,3/21,19.35,7,16.5,-,-,4,-
2011,J Botha,Rajasthan Royals,10,10,216,-,239,7,3/6,34.14,6.63,30.8,-,-,6,-
2011,MV Boucher,Kolkata Knight Riders,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2011,DJ Bravo,Chennai Super Kings,6,6,120,-,157,6,2/21,26.16,7.85,20,-,-,3,-
2011,UBT Chand,Delhi Daredevils,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,AA Chavan,Rajasthan Royals,2,2,30,-,27,-,-,0.00,5.4,-,-,-,1,-
2011,PP Chawla,Kings XI Punjab,12,12,248,-,336,16,4/17,21.00,8.12,15.5,-,-,3,-
2011,B Chipli,Deccan Chargers,14,1,6,-,20,-,-,0.00,20,-,-,-,1,-
